上榜日,股票,代码,买日,买价,卖日,卖价,盈亏%,净买万,换手%,20日涨,RSI,连板
2025-09-02,鹿山新材,603051,2025-09-03,25.23,2025-09-04,28.17,11.65,3545.0,7.7,15,71,1
2025-12-02,恒银科技,603106,2025-12-03,13.34,2025-12-04,12.81,-3.97,9223.0,5.6,30,65,1
2023-06-29,润达医疗,603108,2023-06-30,17.78,2023-07-03,18.23,2.53,6059.0,8.9,52,69,1
2024-05-13,康尼机电,603111,2024-05-14,5.94,2024-05-15,5.85,-1.52,5275.0,9.1,15,66,1
2025-08-13,腾龙股份,603158,2025-08-14,10.0,2025-08-15,11.11,11.1,5886.0,7.7,12,78,1
2024-08-02,腾龙股份,603158,2024-08-05,7.61,2024-08-06,7.16,-5.91,3403.0,5.6,14,63,1
2023-04-17,华正新材,603186,2023-04-18,36.83,2023-04-19,36.18,-1.76,9458.0,9.5,16,59,1
2023-09-26,*ST网达,603189,2023-09-27,14.59,2023-09-28,14.0,-4.04,3192.0,3.9,9,60,1
2025-11-27,赛伍技术,603212,2025-11-28,13.29,2025-12-01,13.33,0.3,9967.0,8.3,15,61,1
2025-06-20,赛伍技术,603212,2025-06-23,11.66,2025-06-24,10.69,-8.32,9996.0,3.5,12,79,1
2024-07-09,宏和科技,603256,2024-07-10,7.87,2024-07-11,7.69,-2.29,4941.0,6.0,20,56,1
2024-07-09,宏和科技,603256,2024-07-10,7.87,2024-07-11,7.69,-2.29,4941.0,6.0,20,56,1
2023-02-21,美湖股份,603319,2023-02-22,12.44,2023-02-23,12.26,-1.45,3219.0,7.7,16,72,1
2025-08-18,四方科技,603339,2025-08-19,15.2,2025-08-20,15.63,2.83,5152.0,6.1,15,76,1
2025-08-26,傲农生物,603363,2025-08-27,4.36,2025-08-28,4.8,10.09,4386.0,4.9,8,80,1
2025-08-27,翔港科技,603499,2025-08-28,14.2,2025-08-29,13.74,-3.24,4361.0,4.3,27,67,1
2023-10-13,捷昌驱动,603583,2023-10-16,19.42,2023-10-17,19.4,-0.1,5079.0,5.4,11,70,1
2025-03-12,杭电股份,603618,2025-03-13,8.76,2025-03-14,8.5,-2.97,8811.0,8.1,32,71,1
2025-08-07,畅联股份,603648,2025-08-08,12.08,2025-08-11,11.85,-1.9,3994.0,8.5,12,69,1
2025-07-31,大元泵业,603757,2025-08-01,26.74,2025-08-04,25.6,-4.26,6268.0,6.1,16,83,1
2025-10-27,新日股份,603787,2025-10-28,13.82,2025-10-29,13.73,-0.65,3780.0,4.9,15,80,1
2025-07-29,福斯特,603806,2025-07-30,14.79,2025-07-31,14.57,-1.49,13971.0,4.6,13,57,1
2023-10-20,白云电器,603861,2023-10-23,10.11,2023-10-24,11.46,13.35,8384.0,4.9,19,66,1
2023-03-23,兆易创新,603986,2023-03-24,117.81,2023-03-27,116.76,-0.89,43264.0,5.9,7,71,1
2023-06-29,中电电机,603988,2023-06-30,11.67,2023-07-03,11.47,-1.71,3029.0,5.1,19,77,1
2024-06-06,九丰能源,605090,2024-06-07,28.04,2024-06-11,28.75,2.53,3165.0,8.5,6,72,1
2023-01-05,三人行,605168,2023-01-06,43.59,2023-01-09,44.85,2.89,3451.0,7.5,24,72,1
2025-05-29,宏柏新材,605366,2025-05-30,6.5,2025-06-03,6.19,-4.77,7311.0,7.3,18,68,1
2025-03-04,安路科技,688107,2025-03-05,36.6,2025-03-06,37.2,1.64,3370.0,3.1,37,63,1
2024-11-19,埃夫特,688165,2024-11-20,12.9,2024-11-21,14.68,13.8,4005.0,7.9,33,69,1
2024-09-24,德科立,688205,2024-09-25,26.59,2024-09-26,25.62,-3.65,3505.0,9.0,15,59,1
2025-12-25,复旦微电,688385,2025-12-26,75.2,2025-12-29,77.37,2.89,9771.0,5.8,32,81,1
2025-07-29,*ST禾信,688622,2025-07-30,96.73,2025-07-31,98.16,1.48,3353.0,4.1,16,79,1
2025-11-26,明微电子,688699,2025-11-27,50.18,2025-11-28,50.06,-0.24,3057.0,6.9,22,67,1
